county,precinct,office,district,party,candidate,votes
Johnson,Park 4-05,PRESIDENT/VP,"",Libertarian,JOHNSON AND WELD,56
Johnson,Park 4-06,PRESIDENT/VP,"",Democrat,CLINTON AND KAINE,324
Johnson,Park 4-06,PRESIDENT/VP,"",Libertarian,JOHNSON AND WELD,34
Johnson,Park 4-07,PRESIDENT/VP,"",Democrat,CLINTON AND KAINE,276
Johnson,Park 4-07,PRESIDENT/VP,"",Libertarian,JOHNSON AND WELD,21
Johnson,Park 4-08,PRESIDENT/VP,"",Democrat,CLINTON AND KAINE,361
Johnson,Park 4-08,PRESIDENT/VP,"",Libertarian,JOHNSON AND WELD,33
Johnson,Park 4-09,PRESIDENT/VP,"",Democrat,CLINTON AND KAINE,244
Johnson,Park 4-09,PRESIDENT/VP,"",Libertarian,JOHNSON AND WELD,32
Johnson,Park 4-10,PRESIDENT/VP,"",Democrat,CLINTON AND KAINE,211
Johnson,Park 4-10,PRESIDENT/VP,"",Libertarian,JOHNSON AND WELD,21
Johnson,Park 4-11,PRESIDENT/VP,"",Democrat,CLINTON AND KAINE,433
Johnson,Park 4-11,PRESIDENT/VP,"",Libertarian,JOHNSON AND WELD,52
